Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
12/01/2019,Brooklyn,K14,"28,006","16,818","4,237","2,463","17,840","29,217"
12/01/2019,Brooklyn,K15,"25,827","16,353","2,865","1,604","18,658","30,119"
12/01/2019,Brooklyn,K16,"35,182","19,931","11,184","5,584","10,002","30,288"
12/01/2019,Brooklyn,K17,"27,917","18,021","7,101","4,257","12,860","26,357"
12/01/2019,Brooklyn,K18,"26,473","16,136","5,071","2,770","15,153","26,806"
12/01/2019,Manhattan,M01,"2,196","1,789",691,575,"1,382","2,855"
12/01/2019,Manhattan,M02,"2,663","2,175",279,275,"2,374","3,412"
12/01/2019,Manhattan,M03,"34,935","24,025","5,948","3,962","20,921","38,518"
12/01/2019,Manhattan,M04,"11,355","8,541","2,873","2,133","5,346","11,799"
12/01/2019,Manhattan,M05,"5,760","3,856","2,779","1,640","1,617","6,446"
12/01/2019,Manhattan,M06,"4,922","4,251",925,813,"2,869","5,351"
12/01/2019,Manhattan,M07,"15,508","11,621","3,256","2,308","7,661","15,998"
12/01/2019,Manhattan,M08,"5,230","4,175",742,569,"3,971","6,548"
12/01/2019,Manhattan,M09,"20,485","13,541","4,661","2,898","8,715","18,998"
12/01/2019,Manhattan,M10,"29,268","18,987","7,685","4,804","10,597","26,134"
12/01/2019,Manhattan,M11,"39,628","24,927","9,563","5,734","14,556","35,894"
12/01/2019,Manhattan,M12,"41,909","29,027","6,051","3,989","21,162","39,789"
12/01/2019,Queens,Q01,"20,858","12,679","3,885","2,281","15,958","24,700"
12/01/2019,Queens,Q02,"9,719","6,223","1,525","1,033","11,259","14,825"
12/01/2019,Queens,Q03,"21,352","12,459","2,379","1,540","23,130","28,817"
12/01/2019,Queens,Q04,"22,755","13,432","2,526","1,636","25,235","31,689"
12/01/2019,Queens,Q05,"16,369","9,698","1,850","1,189","13,695","18,514"
12/01/2019,Queens,Q06,"9,293","6,656",716,523,"8,186","12,005"
12/01/2019,Queens,Q07,"24,785","16,523","3,446","2,391","31,873","41,179"
12/01/2019,Queens,Q08,"16,234","10,019","2,741","1,768","15,064","21,694"
12/01/2019,Queens,Q09,"19,386","11,413","2,904","1,823","15,129","21,926"
12/01/2019,Queens,Q10,"14,696","8,975","2,259","1,356","10,942","16,359"
12/01/2019,Queens,Q11,"6,486","4,387",733,519,"9,051","11,321"
12/01/2019,Queens,Q12,"40,518","24,947","9,410","5,566","22,566","40,352"
12/01/2019,Queens,Q13,"17,978","11,703","3,343","2,195","13,412","20,730"
12/01/2019,Queens,Q14,"27,394","14,948","7,597","3,484","11,645","27,644"
12/01/2019,Staten_Island,S01,"34,626","18,479","10,758","4,996","15,313","34,669"
12/01/2019,Staten_Island,S02,"13,737","8,189","2,386","1,333","11,162","17,269"
12/01/2019,Staten_Island,S03,"9,560","6,142","1,241",769,"8,064","11,705"
03/01/2020,Bronx,B01,"41,545","22,736","12,225","6,506","12,776","36,578"
03/01/2020,Bronx,B02,"20,279","11,294","6,315","3,261","5,824","18,013"
03/01/2020,Bronx,B03,"39,250","21,694","12,307","6,571","10,940","33,847"
03/01/2020,Bronx,B04,"50,360","28,414","14,351","7,430","17,395","44,758"
03/01/2020,Bronx,B05,"49,525","27,397","15,135","7,857","15,202","42,440"
03/01/2020,Bronx,B06,"36,637","20,047","13,072","6,508","9,255","32,402"
03/01/2020,Bronx,B07,"41,865","24,217","11,967","6,394","15,165","37,687"
03/01/2020,Bronx,B08,"15,194","9,190","3,049","1,633","7,994","15,372"
03/01/2020,Bronx,B09,"48,708","27,052","13,132","6,596","18,749","44,119"
03/01/2020,Bronx,B10,"16,879","10,411","3,599","1,878","8,364","16,437"
03/01/2020,Bronx,B11,"22,136","13,061","5,483","2,941","10,492","22,310"
03/01/2020,Bronx,B12,"34,877","19,262","11,992","5,972","11,961","32,830"
03/01/2020,Brooklyn,K01,"49,022","19,574","6,486","2,451","31,021","43,857"
03/01/2020,Brooklyn,K02,"12,731","8,649","2,942","1,883","6,053","12,676"
03/01/2020,Brooklyn,K03,"40,998","22,347","9,214","4,848","16,817","35,351"
03/01/2020,Brooklyn,K04,"21,920","13,739","3,790","2,156","9,960","19,797"
03/01/2020,Brooklyn,K05,"59,085","34,172","13,451","7,022","21,379","48,389"
03/01/2020,Brooklyn,K06,"9,908","6,592","1,918","1,206","4,598","9,437"
03/01/2020,Brooklyn,K07,"19,136","11,555","2,735","1,646","17,427","24,595"
03/01/2020,Brooklyn,K08,"18,716","12,293","4,692","2,882","7,475","17,290"
03/01/2020,Brooklyn,K09,"19,137","11,873","3,753","2,288","9,568","17,619"
03/01/2020,Brooklyn,K10,"15,961","9,573","1,721","1,101","14,176","19,614"
03/01/2020,Brooklyn,K11,"32,328","19,687","2,774","1,710","26,809","39,197"
03/01/2020,Brooklyn,K12,"57,542","18,790","9,870","2,448","42,729","58,275"
03/01/2020,Brooklyn,K13,"30,029","20,314","4,762","2,425","14,239","31,807"
03/01/2020,Brooklyn,K14,"27,714","16,800","4,171","2,438","17,277","28,597"
03/01/2020,Brooklyn,K15,"25,811","16,391","2,862","1,602","18,199","29,589"
03/01/2020,Brooklyn,K16,"35,363","20,091","11,043","5,571","9,630","30,042"
03/01/2020,Brooklyn,K17,"27,712","17,932","7,031","4,233","12,465","25,890"
03/01/2020,Brooklyn,K18,"26,534","16,181","4,953","2,699","14,661","26,291"
03/01/2020,Manhattan,M01,"2,201","1,795",673,569,"1,387","2,807"
03/01/2020,Manhattan,M02,"2,628","2,146",284,269,"2,315","3,334"
03/01/2020,Manhattan,M03,"34,830","23,982","6,010","3,982","20,325","37,838"
03/01/2020,Manhattan,M04,"11,414","8,584","2,886","2,128","5,246","11,742"
03/01/2020,Manhattan,M05,"5,592","3,857","2,585","1,630","1,536","6,113"
03/01/2020,Manhattan,M06,"4,897","4,224",992,888,"2,776","5,297"
03/01/2020,Manhattan,M07,"15,570","11,645","3,329","2,365","7,496","15,884"
03/01/2020,Manhattan,M08,"5,218","4,164",729,560,"3,982","6,516"
03/01/2020,Manhattan,M09,"20,339","13,475","4,577","2,875","8,511","18,787"
03/01/2020,Manhattan,M10,"28,931","18,788","7,559","4,786","10,238","25,666"
03/01/2020,Manhattan,M11,"39,350","24,851","9,547","5,744","14,257","35,508"
03/01/2020,Manhattan,M12,"41,300","28,799","5,886","3,913","20,571","38,982"
03/01/2020,Queens,Q01,"20,896","12,771","3,836","2,302","15,495","24,223"
03/01/2020,Queens,Q02,"9,720","6,212","1,542","1,048","10,986","14,559"
03/01/2020,Queens,Q03,"21,029","12,324","2,418","1,570","22,366","28,013"
03/01/2020,Queens,Q04,"22,450","13,300","2,479","1,626","24,359","30,719"
03/01/2020,Queens,Q05,"16,273","9,685","1,831","1,173","13,318","18,113"
03/01/2020,Queens,Q06,"9,248","6,653",689,501,"8,089","11,889"
03/01/2020,Queens,Q07,"24,845","16,613","3,558","2,469","31,390","40,805"
03/01/2020,Queens,Q08,"16,125","9,969","2,756","1,770","14,775","21,457"
03/01/2020,Queens,Q09,"19,214","11,370","2,832","1,770","14,832","21,586"
03/01/2020,Queens,Q10,"14,519","8,898","2,217","1,334","10,622","15,959"
03/01/2020,Queens,Q11,"6,524","4,431",743,523,"8,896","11,180"
03/01/2020,Queens,Q12,"40,088","24,661","9,134","5,417","21,945","39,638"
03/01/2020,Queens,Q13,"17,835","11,660","3,228","2,164","13,041","20,331"
03/01/2020,Queens,Q14,"27,358","15,004","7,520","3,490","11,215","27,190"
03/01/2020,Staten_Island,S01,"34,592","18,454","10,700","4,993","14,931","34,534"
03/01/2020,Staten_Island,S02,"13,789","8,187","2,379","1,316","11,077","17,276"
03/01/2020,Staten_Island,S03,"9,553","6,129","1,302",792,"7,924","11,610"
06/01/2020,Bronx,B01,"45,637","24,832","14,005","7,385","12,695","38,103"
06/01/2020,Bronx,B02,"22,420","12,426","6,980","3,601","5,775","18,608"
06/01/2020,Bronx,B03,"43,317","23,789","13,841","7,356","10,762","35,196"
06/01/2020,Bronx,B04,"56,155","31,479","16,329","8,439","17,044","46,426"
06/01/2020,Bronx,B05,"54,815","30,212","17,083","8,915","14,869","44,228"
06/01/2020,Bronx,B06,"39,679","21,713","14,410","7,226","9,079","33,648"
06/01/2020,Bronx,B07,"46,703","26,848","13,556","7,296","15,035","39,124"
06/01/2020,Bronx,B08,"17,567","10,506","3,799","2,016","7,716","15,877"
06/01/2020,Bronx,B09,"54,171","29,984","15,247","7,681","18,361","46,084"
06/01/2020,Bronx,B10,"19,215","11,713","4,313","2,296","8,247","17,140"
06/01/2020,Bronx,B11,"24,988","14,618","6,488","3,472","10,295","23,148"
06/01/2020,Bronx,B12,"38,867","21,459","13,643","6,880","11,799","34,294"
06/01/2020,Brooklyn,K01,"52,201","21,241","7,432","3,030","30,640","44,903"
06/01/2020,Brooklyn,K02,"14,123","9,614","3,464","2,229","5,872","13,118"
06/01/2020,Brooklyn,K03,"45,155","24,965","10,778","5,794","16,611","36,826"
06/01/2020,Brooklyn,K04,"24,696","15,570","4,493","2,622","9,813","20,449"
06/01/2020,Brooklyn,K05,"65,389","37,915","15,338","8,139","21,154","50,066"
06/01/2020,Brooklyn,K06,"11,010","7,289","2,244","1,432","4,533","9,876"
06/01/2020,Brooklyn,K07,"20,917","12,648","3,131","1,902","17,081","24,946"
06/01/2020,Brooklyn,K08,"20,630","13,608","5,380","3,334","7,402","17,907"
06/01/2020,Brooklyn,K09,"21,313","13,145","4,296","2,622","9,494","18,170"
06/01/2020,Brooklyn,K10,"17,758","10,583","2,278","1,387","13,929","20,196"
06/01/2020,Brooklyn,K11,"35,284","21,152","3,466","2,056","26,381","39,954"
06/01/2020,Brooklyn,K12,"61,108","20,089","10,572","2,727","42,044","59,166"
06/01/2020,Brooklyn,K13,"32,014","21,398","5,500","2,827","14,037","32,311"
06/01/2020,Brooklyn,K14,"30,806","18,449","4,884","2,842","17,015","29,198"
06/01/2020,Brooklyn,K15,"28,044","17,558","3,450","1,921","17,823","30,111"
06/01/2020,Brooklyn,K16,"38,889","22,149","12,725","6,452","9,507","31,414"
06/01/2020,Brooklyn,K17,"31,527","20,294","8,277","4,966","12,307","27,058"
06/01/2020,Brooklyn,K18,"30,261","18,310","5,973","3,291","14,453","27,258"
06/01/2020,Manhattan,M01,"2,280","1,807",669,543,"1,389","2,790"
06/01/2020,Manhattan,M02,"2,912","2,362",366,343,"2,299","3,450"
06/01/2020,Manhattan,M03,"37,082","25,467","6,938","4,648","20,075","38,720"
06/01/2020,Manhattan,M04,"12,539","9,382","3,450","2,560","5,237","12,251"
06/01/2020,Manhattan,M05,"6,165","4,171","2,955","1,833","1,521","6,392"
06/01/2020,Manhattan,M06,"5,326","4,568","1,279","1,154","2,759","5,578"
06/01/2020,Manhattan,M07,"16,785","12,440","3,959","2,809","7,382","16,385"
06/01/2020,Manhattan,M08,"5,758","4,515",980,751,"4,000","6,832"
06/01/2020,Manhattan,M09,"22,436","14,766","5,436","3,412","8,402","19,508"
06/01/2020,Manhattan,M10,"31,343","20,295","8,573","5,415","10,119","26,480"
06/01/2020,Manhattan,M11,"42,554","26,742","10,927","6,617","14,155","36,765"
06/01/2020,Manhattan,M12,"45,712","31,442","7,151","4,757","20,153","39,916"
06/01/2020,Queens,Q01,"23,598","14,255","4,714","2,833","15,307","25,170"
06/01/2020,Queens,Q02,"11,059","6,956","2,003","1,266","10,823","15,007"
06/01/2020,Queens,Q03,"24,106","13,884","3,055","1,920","21,817","28,431"
06/01/2020,Queens,Q04,"25,613","14,884","3,205","2,017","23,956","31,371"
06/01/2020,Queens,Q05,"19,173","11,268","2,529","1,595","13,130","18,743"
06/01/2020,Queens,Q06,"10,437","7,238",988,677,"8,118","12,327"
06/01/2020,Queens,Q07,"27,266","17,848","4,305","2,886","30,867","41,584"
06/01/2020,Queens,Q08,"18,376","11,043","3,469","2,118","14,534","22,105"
06/01/2020,Queens,Q09,"22,539","13,053","3,850","2,280","14,570","22,450"
06/01/2020,Queens,Q10,"16,714","10,036","2,911","1,704","10,521","16,597"
06/01/2020,Queens,Q11,"7,279","4,848",953,640,"8,767","11,402"
06/01/2020,Queens,Q12,"45,667","27,581","11,178","6,559","21,542","41,392"
06/01/2020,Queens,Q13,"20,743","13,267","4,405","2,811","12,867","21,397"
06/01/2020,Queens,Q14,"29,808","16,209","8,447","3,940","11,101","27,862"
06/01/2020,Staten_Island,S01,"38,088","20,244","11,752","5,568","14,711","35,648"
06/01/2020,Staten_Island,S02,"15,293","8,931","2,793","1,546","10,900","17,727"
06/01/2020,Staten_Island,S03,"10,946","6,853","1,687","1,004","7,843","12,138"
09/01/2020,Bronx,B01,"47,212","25,740","14,342","7,624","12,972","38,327"
09/01/2020,Bronx,B02,"23,150","12,855","7,185","3,708","5,902","18,717"
09/01/2020,Bronx,B03,"45,086","24,750","14,328","7,647","10,997","35,403"
09/01/2020,Bronx,B04,"58,248","32,582","16,751","8,681","17,417","46,698"
09/01/2020,Bronx,B05,"56,964","31,471","17,620","9,251","15,194","44,488"
09/01/2020,Bronx,B06,"40,944","22,427","14,718","7,412","9,277","33,846"
09/01/2020,Bronx,B07,"48,615","27,942","13,813","7,474","15,363","39,354"
09/01/2020,Bronx,B08,"18,344","10,971","3,892","2,065","7,884","15,971"
09/01/2020,Bronx,B09,"56,722","31,336","15,807","8,008","18,761","46,355"
09/01/2020,Bronx,B10,"20,119","12,173","4,462","2,374","8,427","17,241"
09/01/2020,Bronx,B11,"26,117","15,220","6,651","3,565","10,520","23,284"
09/01/2020,Bronx,B12,"40,805","22,463","14,214","7,171","12,057","34,496"
09/01/2020,Brooklyn,K01,"53,243","21,872","7,698","3,142","31,309","45,167"
09/01/2020,Brooklyn,K02,"14,517","9,883","3,559","2,271","6,000","13,195"
09/01/2020,Brooklyn,K03,"46,697","25,904","11,109","5,992","16,974","37,043"
09/01/2020,Brooklyn,K04,"25,812","16,297","4,691","2,718","10,027","20,569"
09/01/2020,Brooklyn,K05,"67,886","39,365","15,989","8,523","21,615","50,361"
09/01/2020,Brooklyn,K06,"11,464","7,584","2,412","1,527","4,632","9,934"
09/01/2020,Brooklyn,K07,"21,759","13,160","3,274","2,025","17,454","25,093"
09/01/2020,Brooklyn,K08,"21,157","14,040","5,577","3,436","7,564","18,012"
09/01/2020,Brooklyn,K09,"22,023","13,644","4,507","2,779","9,702","18,277"
09/01/2020,Brooklyn,K10,"18,480","10,988","2,343","1,444","14,233","20,315"
09/01/2020,Brooklyn,K11,"36,796","21,874","3,592","2,133","26,957","40,189"
09/01/2020,Brooklyn,K12,"62,525","20,597","10,955","2,849","42,962","59,513"
09/01/2020,Brooklyn,K13,"32,606","21,761","5,631","2,906","14,344","32,501"
09/01/2020,Brooklyn,K14,"32,143","19,171","5,124","2,990","17,386","29,370"
09/01/2020,Brooklyn,K15,"28,671","17,944","3,554","1,984","18,212","30,289"
09/01/2020,Brooklyn,K16,"40,015","22,838","13,014","6,591","9,715","31,599"
09/01/2020,Brooklyn,K17,"32,954","21,224","8,526","5,144","12,576","27,217"
09/01/2020,Brooklyn,K18,"31,455","19,046","6,162","3,425","14,768","27,418"
09/01/2020,Manhattan,M01,"2,276","1,799",644,511,"1,419","2,807"
09/01/2020,Manhattan,M02,"2,994","2,438",381,354,"2,349","3,470"
09/01/2020,Manhattan,M03,"37,879","26,041","7,219","4,826","20,513","38,948"
09/01/2020,Manhattan,M04,"13,035","9,802","3,509","2,653","5,352","12,323"
09/01/2020,Manhattan,M05,"6,159","4,317","3,021","1,925","1,554","6,430"
09/01/2020,Manhattan,M06,"5,550","4,773","1,364","1,241","2,820","5,611"
09/01/2020,Manhattan,M07,"17,310","12,817","4,176","2,947","7,543","16,481"
09/01/2020,Manhattan,M08,"6,009","4,680","1,049",788,"4,087","6,872"
09/01/2020,Manhattan,M09,"23,273","15,315","5,744","3,616","8,586","19,622"
09/01/2020,Manhattan,M10,"32,474","20,991","8,934","5,672","10,340","26,636"
09/01/2020,Manhattan,M11,"43,970","27,654","11,530","7,004","14,464","36,981"
09/01/2020,Manhattan,M12,"47,223","32,431","7,463","4,972","20,593","40,150"
09/01/2020,Queens,Q01,"24,865","14,936","5,009","3,009","15,641","25,318"
09/01/2020,Queens,Q02,"11,731","7,355","2,115","1,338","11,059","15,095"
09/01/2020,Queens,Q03,"25,576","14,672","3,207","2,024","22,293","28,598"
09/01/2020,Queens,Q04,"27,250","15,787","3,434","2,154","24,480","31,555"
09/01/2020,Queens,Q05,"20,237","11,840","2,603","1,664","13,417","18,853"
09/01/2020,Queens,Q06,"10,780","7,395","1,034",705,"8,296","12,400"
09/01/2020,Queens,Q07,"28,354","18,494","4,436","2,983","31,541","41,830"
09/01/2020,Queens,Q08,"19,237","11,464","3,505","2,145","14,851","22,235"
09/01/2020,Queens,Q09,"23,776","13,674","3,930","2,333","14,888","22,582"
09/01/2020,Queens,Q10,"17,636","10,528","2,966","1,759","10,751","16,694"
09/01/2020,Queens,Q11,"7,626","5,033",974,659,"8,958","11,469"
09/01/2020,Queens,Q12,"47,792","28,803","11,497","6,754","22,012","41,635"
09/01/2020,Queens,Q13,"22,301","14,059","4,646","2,951","13,148","21,522"
09/01/2020,Queens,Q14,"30,889","16,829","8,782","4,122","11,343","28,026"
09/01/2020,Staten_Island,S01,"39,400","20,918","12,192","5,725","15,033","35,858"
09/01/2020,Staten_Island,S02,"15,810","9,214","2,847","1,573","11,138","17,831"
09/01/2020,Staten_Island,S03,"11,396","7,091","1,721","1,027","8,014","12,209"
12/01/2020,Bronx,B01,"45,563","24,989","13,868","7,317","13,703","38,156"
12/01/2020,Bronx,B02,"22,329","12,438","7,005","3,577","6,288","18,619"
12/01/2020,Bronx,B03,"43,446","23,953","13,859","7,333","11,775","35,393"
12/01/2020,Bronx,B04,"55,972","31,491","15,982","8,184","18,297","46,101"
12/01/2020,Bronx,B05,"54,750","30,436","16,787","8,762","16,055","44,150"
12/01/2020,Bronx,B06,"39,669","21,738","14,114","7,086","9,986","33,576"
12/01/2020,Bronx,B07,"47,059","27,206","13,322","7,152","16,092","39,167"
12/01/2020,Bronx,B08,"17,915","10,761","3,642","1,933","8,144","15,930"
12/01/2020,Bronx,B09,"54,999","30,515","15,314","7,661","19,626","46,621"
12/01/2020,Bronx,B10,"19,741","12,008","4,285","2,275","8,834","17,419"
12/01/2020,Bronx,B11,"25,471","14,864","6,352","3,357","10,845","23,138"
12/01/2020,Bronx,B12,"39,777","21,969","13,869","6,930","12,986","34,966"
12/01/2020,Brooklyn,K01,"51,257","21,182","7,578","3,032","31,044","44,718"
12/01/2020,Brooklyn,K02,"13,870","9,515","3,444","2,173","6,212","13,114"
12/01/2020,Brooklyn,K03,"43,981","24,535","10,543","5,604","17,434","36,562"
12/01/2020,Brooklyn,K04,"24,490","15,670","4,353","2,521","10,364","20,395"
12/01/2020,Brooklyn,K05,"64,642","37,679","15,258","8,038","22,708","50,370"
12/01/2020,Brooklyn,K06,"11,243","7,401","2,441","1,521","4,794","10,101"
12/01/2020,Brooklyn,K07,"21,162","12,911","3,145","1,942","17,234","24,662"
12/01/2020,Brooklyn,K08,"19,928","13,254","5,325","3,230","7,894","17,819"
12/01/2020,Brooklyn,K09,"20,863","13,093","4,268","2,613","10,070","18,315"
12/01/2020,Brooklyn,K10,"18,082","10,778","2,287","1,413","14,276","20,262"
12/01/2020,Brooklyn,K11,"35,835","21,477","3,401","2,030","26,795","39,657"
12/01/2020,Brooklyn,K12,"59,486","19,831","10,975","2,798","42,253","58,659"
12/01/2020,Brooklyn,K13,"31,600","21,215","5,438","2,793","14,601","32,078"
12/01/2020,Brooklyn,K14,"31,096","18,663","4,858","2,833","17,673","29,339"
12/01/2020,Brooklyn,K15,"27,676","17,471","3,315","1,865","18,203","29,836"
12/01/2020,Brooklyn,K16,"37,370","21,604","12,522","6,327","10,559","31,394"
12/01/2020,Brooklyn,K17,"31,428","20,375","8,093","4,886","13,467","27,443"
12/01/2020,Brooklyn,K18,"29,904","18,219","5,744","3,180","15,416","27,517"
12/01/2020,Manhattan,M01,"2,211","1,709",602,470,"1,436","2,758"
12/01/2020,Manhattan,M02,"2,963","2,407",384,351,"2,422","3,525"
12/01/2020,Manhattan,M03,"36,972","25,354","7,041","4,614","20,612","38,580"
12/01/2020,Manhattan,M04,"12,912","9,703","3,498","2,655","5,748","12,594"
12/01/2020,Manhattan,M05,"6,014","4,257","2,920","1,903","1,695","6,445"
12/01/2020,Manhattan,M06,"5,383","4,582","1,313","1,187","2,993","5,749"
12/01/2020,Manhattan,M07,"16,999","12,550","4,070","2,865","7,814","16,566"
12/01/2020,Manhattan,M08,"5,950","4,637","1,020",763,"4,223","6,971"
12/01/2020,Manhattan,M09,"22,386","14,826","5,354","3,369","8,881","19,499"
12/01/2020,Manhattan,M10,"30,998","20,155","8,446","5,324","11,043","26,459"
12/01/2020,Manhattan,M11,"42,630","26,858","11,302","6,786","15,056","36,792"
12/01/2020,Manhattan,M12,"45,845","31,591","7,227","4,761","21,270","40,122"
12/01/2020,Queens,Q01,"24,107","14,563","4,751","2,828","16,087","25,708"
12/01/2020,Queens,Q02,"11,522","7,216","1,983","1,279","11,228","15,297"
12/01/2020,Queens,Q03,"24,765","14,250","3,074","1,955","22,345","28,765"
12/01/2020,Queens,Q04,"26,564","15,373","3,311","2,077","24,569","31,964"
12/01/2020,Queens,Q05,"19,649","11,574","2,427","1,549","13,707","19,112"
12/01/2020,Queens,Q06,"10,659","7,307",958,657,"8,417","12,447"
12/01/2020,Queens,Q07,"27,903","18,278","4,233","2,869","31,632","41,912"
12/01/2020,Queens,Q08,"18,747","11,224","3,216","1,963","15,102","22,185"
12/01/2020,Queens,Q09,"23,229","13,415","3,565","2,162","15,369","22,851"
12/01/2020,Queens,Q10,"17,104","10,332","2,731","1,637","11,047","16,795"
12/01/2020,Queens,Q11,"7,591","4,996",929,625,"9,041","11,551"
12/01/2020,Queens,Q12,"45,928","27,735","10,800","6,334","23,270","42,374"
12/01/2020,Queens,Q13,"21,922","13,756","4,357","2,770","13,908","22,465"
12/01/2020,Queens,Q14,"29,379","16,221","8,508","3,969","11,989","28,353"
12/01/2020,Staten_Island,S01,"38,258","20,359","11,884","5,502","15,753","36,071"
12/01/2020,Staten_Island,S02,"15,478","9,027","2,692","1,474","11,445","17,946"
12/01/2020,Staten_Island,S03,"11,284","7,013","1,583",943,"8,224","12,313"
03/01/2021,Bronx,B01,"46,370","25,389","13,689","7,243","14,548","38,670"
03/01/2021,Bronx,B02,"23,080","12,763","7,103","3,611","6,777","19,319"
03/01/2021,Bronx,B03,"44,548","24,520","13,683","7,262","12,661","36,044"
03/01/2021,Bronx,B04,"57,383","32,221","15,665","8,087","19,361","46,805"
03/01/2021,Bronx,B05,"55,977","31,101","16,622","8,616","16,953","44,858"
03/01/2021,Bronx,B06,"40,500","22,131","14,100","7,048","10,777","34,339"
03/01/2021,Bronx,B07,"48,114","27,742","12,947","6,982","16,824","39,660"
03/01/2021,Bronx,B08,"18,337","10,989","3,672","1,958","8,324","16,118"
03/01/2021,Bronx,B09,"56,588","31,320","15,364","7,685","20,472","47,516"
03/01/2021,Bronx,B10,"20,358","12,349","4,305","2,304","9,180","17,896"
03/01/2021,Bronx,B11,"26,180","15,219","6,436","3,384","11,273","23,623"
03/01/2021,Bronx,B12,"40,884","22,526","13,820","6,886","13,847","35,840"
03/01/2021,Brooklyn,K01,"52,233","21,536","7,716","3,043","31,294","45,395"
03/01/2021,Brooklyn,K02,"14,337","9,789","3,551","2,223","6,429","13,411"
03/01/2021,Brooklyn,K03,"45,014","25,102","10,631","5,670","18,086","37,191"
03/01/2021,Brooklyn,K04,"25,096","16,038","4,538","2,597","10,815","20,924"
03/01/2021,Brooklyn,K05,"66,213","38,486","15,296","8,020","24,030","51,592"
03/01/2021,Brooklyn,K06,"11,626","7,616","2,509","1,527","4,957","10,446"
03/01/2021,Brooklyn,K07,"21,577","13,243","3,358","2,129","17,479","25,120"
03/01/2021,Brooklyn,K08,"20,524","13,578","5,289","3,180","8,358","18,300"
03/01/2021,Brooklyn,K09,"21,296","13,315","4,275","2,646","10,397","18,696"
03/01/2021,Brooklyn,K10,"18,515","11,011","2,344","1,440","14,469","20,559"
03/01/2021,Brooklyn,K11,"36,875","21,909","3,414","2,044","27,092","40,153"
03/01/2021,Brooklyn,K12,"61,787","20,429","11,185","2,858","42,806","59,655"
03/01/2021,Brooklyn,K13,"31,920","21,324","5,331","2,704","14,978","32,252"
03/01/2021,Brooklyn,K14,"31,951","19,020","4,926","2,872","18,029","29,780"
03/01/2021,Brooklyn,K15,"28,204","17,657","3,264","1,835","18,498","30,171"
03/01/2021,Brooklyn,K16,"38,928","22,331","12,549","6,316","11,330","32,255"
03/01/2021,Brooklyn,K17,"32,384","20,974","8,168","4,953","14,271","28,299"
03/01/2021,Brooklyn,K18,"30,444","18,618","5,766","3,209","16,048","28,236"
03/01/2021,Manhattan,M01,"2,219","1,682",511,391,"1,471","2,757"
03/01/2021,Manhattan,M02,"3,035","2,459",391,362,"2,441","3,579"
03/01/2021,Manhattan,M03,"37,580","25,682","6,925","4,530","20,978","39,023"
03/01/2021,Manhattan,M04,"13,424","10,043","3,585","2,740","5,981","13,045"
03/01/2021,Manhattan,M05,"6,031","4,332","2,771","1,872","1,758","6,385"
03/01/2021,Manhattan,M06,"5,469","4,642","1,309","1,185","3,060","5,868"
03/01/2021,Manhattan,M07,"17,394","12,819","4,225","2,935","8,070","17,000"
03/01/2021,Manhattan,M08,"6,105","4,746","1,078",811,"4,344","7,188"
03/01/2021,Manhattan,M09,"23,008","15,169","5,489","3,403","9,157","19,878"
03/01/2021,Manhattan,M10,"31,502","20,380","8,311","5,235","11,570","26,906"
03/01/2021,Manhattan,M11,"43,180","27,126","11,449","6,784","15,522","37,374"
03/01/2021,Manhattan,M12,"46,906","32,133","7,141","4,680","21,714","40,587"
03/01/2021,Queens,Q01,"24,993","15,047","4,657","2,831","16,473","26,209"
03/01/2021,Queens,Q02,"11,846","7,379","1,935","1,243","11,487","15,580"
03/01/2021,Queens,Q03,"25,330","14,587","3,062","1,945","22,840","29,378"
03/01/2021,Queens,Q04,"27,511","15,867","3,250","2,048","25,036","32,568"
03/01/2021,Queens,Q05,"20,180","11,916","2,362","1,536","14,044","19,533"
03/01/2021,Queens,Q06,"10,875","7,405",944,650,"8,533","12,638"
03/01/2021,Queens,Q07,"28,863","18,855","4,310","2,932","32,043","42,586"
03/01/2021,Queens,Q08,"19,394","11,499","3,133","1,912","15,447","22,625"
03/01/2021,Queens,Q09,"23,940","13,834","3,671","2,229","15,757","23,366"
03/01/2021,Queens,Q10,"17,841","10,712","2,722","1,632","11,426","17,259"
03/01/2021,Queens,Q11,"7,868","5,154",963,644,"9,162","11,765"
03/01/2021,Queens,Q12,"47,144","28,382","10,714","6,288","24,138","43,261"
03/01/2021,Queens,Q13,"22,504","14,033","4,350","2,764","14,392","22,868"
03/01/2021,Queens,Q14,"30,355","16,584","8,212","3,849","12,542","28,733"
03/01/2021,Staten_Island,S01,"38,964","20,751","11,700","5,491","16,545","36,804"
03/01/2021,Staten_Island,S02,"15,985","9,256","2,737","1,513","11,696","18,321"
03/01/2021,Staten_Island,S03,"11,368","7,085","1,612",968,"8,449","12,600"
06/01/2021,Bronx,B01,"46,929","25,890","13,327","7,029","15,110","38,800"
06/01/2021,Bronx,B02,"23,648","13,182","6,930","3,505","7,034","19,522"
06/01/2021,Bronx,B03,"45,183","25,123","13,189","7,082","13,101","35,957"
06/01/2021,Bronx,B04,"58,977","33,266","15,468","7,996","19,937","47,077"
