Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
12/01/2018,Bronx,B06,"38,141","20,394","14,007","6,725","10,821","32,775"
12/01/2018,Bronx,B07,"44,791","25,235","12,909","6,638","18,677","41,983"
12/01/2018,Bronx,B08,"15,859","9,523","3,200","1,661","8,636","16,600"
12/01/2018,Bronx,B09,"51,447","28,001","13,646","6,658","21,456","47,609"
12/01/2018,Bronx,B10,"17,421","10,544","3,653","1,889","8,995","17,480"
12/01/2018,Bronx,B11,"23,286","13,534","5,667","3,031","12,456","25,039"
12/01/2018,Bronx,B12,"36,510","19,927","12,372","6,096","16,008","36,717"
12/01/2018,Brooklyn,K01,"50,611","19,968","6,706","2,494","31,503","46,146"
12/01/2018,Brooklyn,K02,"13,105","8,806","3,008","1,909","6,648","13,000"
12/01/2018,Brooklyn,K03,"43,051","23,061","9,953","5,114","19,153","37,314"
12/01/2018,Brooklyn,K04,"23,790","14,371","4,404","2,399","13,922","24,215"
12/01/2018,Brooklyn,K05,"61,878","34,785","14,087","7,277","24,473","50,351"
12/01/2018,Brooklyn,K06,"9,752","6,452","1,803","1,080","5,188","9,795"
12/01/2018,Brooklyn,K07,"21,169","12,330","3,103","1,825","21,458","30,111"
12/01/2018,Brooklyn,K08,"19,932","12,626","5,077","2,996","9,936","19,530"
12/01/2018,Brooklyn,K09,"20,104","12,156","3,985","2,323","13,023","21,333"
12/01/2018,Brooklyn,K10,"16,550","9,611","1,790","1,158","15,555","22,074"
12/01/2018,Brooklyn,K11,"35,305","20,694","3,096","1,892","28,429","43,031"
12/01/2018,Brooklyn,K12,"59,507","19,431","10,040","2,473","43,360","61,255"
12/01/2018,Brooklyn,K13,"31,486","20,837","4,683","2,343","14,848","32,285"
12/01/2018,Brooklyn,K14,"30,466","17,745","4,311","2,484","21,705","34,189"
12/01/2018,Brooklyn,K15,"27,601","17,010","3,040","1,658","18,892","31,380"
12/01/2018,Brooklyn,K16,"36,343","20,081","11,997","5,745","11,297","29,663"
12/01/2018,Brooklyn,K17,"29,471","18,464","7,435","4,332","18,825","32,023"
12/01/2018,Brooklyn,K18,"27,371","16,380","5,349","2,877","17,949","29,643"
12/01/2018,Manhattan,M01,"2,091","1,680",653,539,"1,538","2,930"
12/01/2018,Manhattan,M02,"2,937","2,333",275,260,"2,817","4,196"
12/01/2018,Manhattan,M03,"36,068","24,511","5,871","3,934","22,811","41,785"
12/01/2018,Manhattan,M04,"11,529","8,671","2,863","2,089","6,038","12,661"
12/01/2018,Manhattan,M05,"5,707","3,829","3,155","1,751","1,814","5,888"
12/01/2018,Manhattan,M06,"4,983","4,314",951,871,"3,274","5,860"
12/01/2018,Manhattan,M07,"16,080","12,068","3,431","2,371","8,637","17,429"
12/01/2018,Manhattan,M08,"5,490","4,367",706,531,"4,849","7,864"
12/01/2018,Manhattan,M09,"21,830","14,223","4,888","2,996","11,163","22,101"
12/01/2018,Manhattan,M10,"32,765","20,732","8,648","5,226","13,073","29,454"
12/01/2018,Manhattan,M11,"41,649","25,977","9,770","5,799","17,240","38,761"
12/01/2018,Manhattan,M12,"45,582","30,979","6,195","3,989","25,776","46,791"
12/01/2018,Queens,Q01,"21,830","13,067","3,860","2,182","19,169","28,804"
12/01/2018,Queens,Q02,"10,534","6,621","1,651","1,056","14,091","18,685"
12/01/2018,Queens,Q03,"23,959","13,722","2,717","1,661","28,855","37,214"
12/01/2018,Queens,Q04,"25,154","14,573","2,574","1,655","30,536","39,751"
12/01/2018,Queens,Q05,"17,539","10,258","1,919","1,225","15,497","21,651"
12/01/2018,Queens,Q06,"9,871","6,860",752,521,"8,091","12,536"
12/01/2018,Queens,Q07,"25,456","16,689","3,412","2,316","32,068","44,061"
12/01/2018,Queens,Q08,"17,087","10,305","3,125","1,963","15,201","22,779"
12/01/2018,Queens,Q09,"21,275","12,212","2,974","1,806","17,524","25,473"
12/01/2018,Queens,Q10,"15,609","9,359","2,443","1,426","12,946","18,875"
12/01/2018,Queens,Q11,"6,319","4,312",707,507,"8,659","11,692"
12/01/2018,Queens,Q12,"42,784","25,723","10,005","5,889","25,437","42,852"
12/01/2018,Queens,Q13,"18,536","11,837","3,525","2,270","15,195","22,987"
12/01/2018,Queens,Q14,"28,537","15,315","7,844","3,486","11,413","26,315"
12/01/2018,Staten_Island,S01,"36,386","19,289","10,953","5,085","17,837","36,633"
12/01/2018,Staten_Island,S02,"13,799","8,226","2,327","1,326","11,730","18,215"
12/01/2018,Staten_Island,S03,"9,771","6,233","1,141",709,"8,324","12,279"
03/01/2019,Bronx,B01,"43,127","23,086","13,147","6,789","14,227","37,376"
03/01/2019,Bronx,B02,"21,203","11,531","6,704","3,347","6,607","18,428"
03/01/2019,Bronx,B03,"40,628","21,829","12,909","6,606","11,831","33,692"
03/01/2019,Bronx,B04,"55,067","30,205","16,539","8,220","20,513","49,003"
03/01/2019,Bronx,B05,"53,602","29,021","16,601","8,401","18,204","45,855"
03/01/2019,Bronx,B06,"37,803","20,308","13,834","6,715","10,605","32,493"
03/01/2019,Bronx,B07,"44,357","25,149","12,601","6,540","18,255","41,320"
03/01/2019,Bronx,B08,"15,705","9,398","3,131","1,618","8,481","16,352"
03/01/2019,Bronx,B09,"50,759","27,846","13,331","6,594","20,982","46,869"
03/01/2019,Bronx,B10,"17,192","10,490","3,621","1,877","8,777","17,193"
03/01/2019,Bronx,B11,"23,107","13,461","5,568","2,999","12,189","24,649"
03/01/2019,Bronx,B12,"36,142","19,757","12,215","6,029","15,687","36,293"
03/01/2019,Brooklyn,K01,"50,622","19,950","6,619","2,482","30,605","45,093"
03/01/2019,Brooklyn,K02,"13,107","8,806","2,911","1,866","6,563","12,826"
03/01/2019,Brooklyn,K03,"42,916","22,991","9,683","5,020","18,823","36,799"
03/01/2019,Brooklyn,K04,"23,579","14,304","4,376","2,370","13,497","23,719"
03/01/2019,Brooklyn,K05,"61,594","34,850","13,929","7,234","24,007","49,825"
03/01/2019,Brooklyn,K06,"9,712","6,488","1,862","1,157","5,099","9,743"
03/01/2019,Brooklyn,K07,"20,782","12,182","3,041","1,826","20,690","29,192"
03/01/2019,Brooklyn,K08,"19,772","12,636","4,984","2,978","9,744","19,256"
03/01/2019,Brooklyn,K09,"19,898","12,076","3,932","2,333","12,763","21,021"
03/01/2019,Brooklyn,K10,"16,441","9,635","1,791","1,168","15,016","21,491"
03/01/2019,Brooklyn,K11,"34,870","20,563","2,981","1,818","27,657","42,009"
03/01/2019,Brooklyn,K12,"59,370","19,344","9,770","2,400","42,093","59,745"
03/01/2019,Brooklyn,K13,"31,388","20,782","4,624","2,296","14,554","31,794"
03/01/2019,Brooklyn,K14,"29,935","17,531","4,289","2,454","21,219","33,572"
03/01/2019,Brooklyn,K15,"27,338","16,964","3,035","1,684","18,438","30,790"
03/01/2019,Brooklyn,K16,"36,292","20,171","11,689","5,707","11,076","29,304"
03/01/2019,Brooklyn,K17,"29,409","18,576","7,317","4,298","18,443","31,529"
03/01/2019,Brooklyn,K18,"27,326","16,368","5,287","2,843","17,638","29,289"
03/01/2019,Manhattan,M01,"2,178","1,749",737,623,"1,516","2,979"
03/01/2019,Manhattan,M02,"2,853","2,306",274,263,"2,757","4,109"
03/01/2019,Manhattan,M03,"35,791","24,382","5,915","3,976","22,281","41,205"
03/01/2019,Manhattan,M04,"11,565","8,657","2,922","2,098","5,977","12,668"
03/01/2019,Manhattan,M05,"5,561","3,803","3,151","1,784","1,801","5,903"
03/01/2019,Manhattan,M06,"5,011","4,359",981,893,"3,291","5,902"
03/01/2019,Manhattan,M07,"16,007","12,027","3,440","2,385","8,486","17,263"
03/01/2019,Manhattan,M08,"5,384","4,306",720,546,"4,782","7,779"
03/01/2019,Manhattan,M09,"21,433","14,030","4,790","2,946","10,955","21,761"
03/01/2019,Manhattan,M10,"32,129","20,429","8,359","5,120","12,839","28,986"
03/01/2019,Manhattan,M11,"41,032","25,777","9,590","5,782","16,945","38,387"
03/01/2019,Manhattan,M12,"44,388","30,298","6,031","3,874","25,004","45,639"
03/01/2019,Queens,Q01,"21,767","12,980","3,806","2,169","18,565","28,110"
03/01/2019,Queens,Q02,"10,552","6,600","1,663","1,048","13,670","18,236"
03/01/2019,Queens,Q03,"23,341","13,405","2,631","1,635","28,062","36,228"
03/01/2019,Queens,Q04,"24,662","14,335","2,467","1,619","29,606","38,604"
03/01/2019,Queens,Q05,"17,263","10,144","1,878","1,201","15,051","21,069"
03/01/2019,Queens,Q06,"9,883","6,869",750,528,"7,918","12,321"
03/01/2019,Queens,Q07,"25,320","16,651","3,323","2,280","31,209","43,013"
03/01/2019,Queens,Q08,"17,063","10,338","3,088","1,939","14,896","22,385"
03/01/2019,Queens,Q09,"20,744","12,013","2,849","1,755","16,963","24,697"
03/01/2019,Queens,Q10,"15,396","9,331","2,502","1,458","12,528","18,492"
03/01/2019,Queens,Q11,"6,403","4,351",715,514,"8,435","11,441"
03/01/2019,Queens,Q12,"42,290","25,688","9,787","5,854","24,908","42,208"
03/01/2019,Queens,Q13,"18,552","11,933","3,550","2,321","14,849","22,641"
03/01/2019,Queens,Q14,"28,643","15,390","7,767","3,468","11,194","26,067"
03/01/2019,Staten_Island,S01,"35,940","19,122","11,002","5,122","17,487","36,216"
03/01/2019,Staten_Island,S02,"13,728","8,183","2,330","1,345","11,504","17,932"
03/01/2019,Staten_Island,S03,"9,744","6,233","1,182",726,"8,175","12,109"
06/01/2019,Bronx,B01,"42,338","22,839","12,465","6,620","14,275","38,422"
06/01/2019,Bronx,B02,"20,737","11,386","6,330","3,279","6,447","18,891"
06/01/2019,Bronx,B03,"39,878","21,657","12,340","6,462","12,353","35,477"
06/01/2019,Bronx,B04,"53,554","29,604","15,439","7,902","19,349","48,305"
06/01/2019,Bronx,B05,"51,850","28,291","15,993","8,201","16,997","45,337"
06/01/2019,Bronx,B06,"37,212","20,093","13,071","6,556","10,376","33,951"
06/01/2019,Bronx,B07,"43,266","24,741","12,533","6,614","16,582","39,853"
06/01/2019,Bronx,B08,"15,289","9,180","3,089","1,626","8,669","16,176"
06/01/2019,Bronx,B09,"49,754","27,386","13,121","6,617","20,394","46,276"
06/01/2019,Bronx,B10,"16,979","10,433","3,569","1,906","8,984","17,032"
06/01/2019,Bronx,B11,"22,585","13,222","5,595","3,015","11,469","23,481"
06/01/2019,Bronx,B12,"35,595","19,530","12,288","6,121","13,104","34,284"
06/01/2019,Brooklyn,K01,"49,688","19,692","6,367","2,435","33,767","46,880"
06/01/2019,Brooklyn,K02,"12,707","8,585","2,948","1,856","6,567","13,278"
